E, 1 - qF(E), E_0, E_B, E_D, E_B(Theory), Sites, Localized State, Extended State, Dark State
-1.010000000000032,0.06651062260847196,nan,nan,nan,nan,nan,nan,nan,nan
-1.000000000000032,2.261524301161444e-13,nan,nan,nan,nan,nan,nan,nan,nan
-0.9900000000000322,-0.07393693463158568,nan,nan,nan,nan,nan,nan,nan,nan
-0.9800000000000324,-0.156821916730745,nan,nan,nan,nan,nan,nan,nan,nan
-0.9700000000000326,-0.2506120848851627,nan,nan,nan,nan,nan,nan,nan,nan
-0.9600000000000328,-0.3578686490235972,nan,nan,nan,nan,nan,nan,nan,nan
-0.950000000000033,-0.4820104681859396,nan,nan,nan,nan,nan,nan,nan,nan
-0.9400000000000333,-0.6277069832197748,nan,nan,nan,nan,nan,nan,nan,nan
-0.9300000000000335,-0.8015088704542241,nan,nan,nan,nan,nan,nan,nan,nan
-0.9200000000000337,-1.012903032646048,nan,nan,nan,nan,nan,nan,nan,nan
-0.9100000000000339,-1.276167116156335,nan,nan,nan,nan,nan,nan,nan,nan
-0.9000000000000341,-1.613832675922932,nan,nan,nan,nan,nan,nan,nan,nan
-0.8900000000000343,-2.063660072024049,nan,nan,nan,nan,nan,nan,nan,nan
-0.8800000000000345,-2.694124516315942,nan,nan,nan,nan,nan,nan,nan,nan
-0.8700000000000347,-3.643623403414574,nan,nan,nan,nan,nan,nan,nan,nan
-0.860000000000035,-5.240329555329255,nan,nan,nan,nan,nan,nan,nan,nan
