q,W_dark,W_extended,W_localized,M_dark,M_extended,M_localized,l,N,q_theory,q_MSD,relative_error_percent
0.16,0.5000000000000018,0.4420735557228712,0.05792644427712715,3333.539999999999,3336.267938399367,82.13653583365127,4,100,0.2480983934023561,0.2775211174440426,11.85929648241206
0.17,0.5000000000000028,0.4396923731259242,0.06030762687407314,3333.54,3335.079756567569,73.20870260752035,4,150,0.2480983934023561,0.2628097554231993,5.929648241206028
0.18,0.4999999999999985,0.4374316395111841,0.06256836048881753,3333.539999999999,3333.999067134067,65.73018258780928,4,200,0.2480983934023561,0.2568254725672631,3.517587939698494
0.19,0.4999999999999984,0.4352875433208748,0.06471245667912577,3333.54,3333.010784075221,59.40236179828561,4,250,0.2480983934023561,0.253833331139295,2.311557788944727
0.2,0.4999999999999936,0.4332563855498771,0.0667436144501298,3333.54,3332.102972990652,54.00027310890931,4,300,0.2480983934023561,0.2520879153063136,1.608040201005015
0.21,0.5000000000000032,0.43133456570674,0.06866543429325762,3333.540000000002,3331.266035354753,49.35158024354656,nan,nan,nan,nan,nan
0.22,0.4999999999999993,0.4295185749609682,0.07048142503903274,3333.540000000001,3330.492139122546,45.32235534872818,nan,nan,nan,nan,nan
0.23,0.4999999999999857,0.4278049923786744,0.07219500762133926,3333.540000000002,3329.774810959145,41.80719937653399,nan,nan,nan,nan,nan
0.24,0.5000000000000085,0.4261904824708235,0.07380951752916767,3333.540000000001,3329.108637737239,38.72222841975695,nan,nan,nan,nan,nan
0.25,0.5000000000000017,0.4246717932967485,0.07532820670324938,3333.54,3328.489043949789,36.00000239543369,nan,nan,nan,nan,nan
0.26,0.4999999999999986,0.4232457548035863,0.07675424519641508,3333.540000000001,3327.912123125068,33.58579974130524,nan,nan,nan,nan,nan
0.27,0.5000000000000121,0.4219092772698198,0.0780907227301683,3333.540000000001,3327.374508432747,31.43484260627321,nan,nan,nan,nan,nan
0.28,0.4999999999999992,0.4206593497980182,0.07934065020198175,3333.54,3326.873272218818,29.51020421903497,nan,nan,nan,nan,nan
0.29,0.4999999999999994,0.4194930388346269,0.08050696116537388,3333.540000000001,3326.405847206104,27.78121289475576,nan,nan,nan,nan,nan
0.3,0.4999999999999956,0.4184074867084165,0.08159251329158781,3333.539999999999,3325.969964126734,26.22222224257639,nan,nan,nan,nan,nan
0.31,0.4999999999999888,0.4173999101838339,0.08260008981617659,3333.540000000001,3325.563601957121,24.8116545343618,nan,nan,nan,nan,nan
0.32,0.4999999999999995,0.41646759902831,0.08353240097169018,3333.540000000001,3325.184947914236,23.53125000300977,nan,nan,nan,nan,nan
0.33,0.5000000000000014,0.4156079145932753,0.08439208540672423,3333.54,3324.83236508153,22.36547291208398,nan,nan,nan,nan,nan
0.34,0.4999999999999979,0.4148182884087255,0.08518171159127653,3333.54,3324.504366046662,21.30103806272832,nan,nan,nan,nan,nan
0.35,0.5000000000000073,0.4140962207917695,0.08590377920822322,3333.540000000001,3324.199591311987,20.32653061241573,nan,nan,nan,nan,nan
0.36,0.5000000000000048,0.4134392794693236,0.08656072053067117,3333.539999999999,3323.91679151988,19.43209876549787,nan,nan,nan,nan,nan
0.37,0.5000000000000006,0.4128450982150512,0.08715490178494806,3333.539999999999,3323.654812746442,18.60920379841815,nan,nan,nan,nan,nan
0.38,0.500000000000003,0.4123113755010194,0.08768862449897712,3333.54,3323.412584277262,17.85041551247508,nan,nan,nan,nan,nan
0.39,0.4999999999999948,0.411835873164181,0.08816412683582416,3333.540000000002,3323.189108401517,17.14924391847821,nan,nan,nan,nan,nan
0.4,0.5000000000000027,0.411416415087825,0.08858358491217115,3333.540000000002,3322.983451855489,16.50000000000171,nan,nan,nan,nan,nan
0.41,0.4999999999999908,0.411050885898483,0.08894911410152632,3333.540000000001,3322.794738619302,15.89767995240984,nan,nan,nan,nan,nan
0.42,0.4999999999999997,0.4107372296780394,0.08926277032196066,3333.540000000001,3322.622143829137,15.33786848072602,nan,nan,nan,nan,nan
0.43,0.5000000000000013,0.4104734486917924,0.08952655130820578,3333.540000000001,3322.464888611729,14.81665765278521,nan,nan,nan,nan,nan
